TASK STARTED | TASK-002
TASK RUNNING | TASK-010
TASK COMPLETED | TASK-010
ERROR | TASK-011 FAILED
TASK RUNNING | TASK-1779631183395
TASK RUNNING | TASK-1779631931471
TASK COMPLETED | TASK-1779631183395
TASK COMPLETED | TASK-1779631931471
TASK RUNNING | TASK-1779632712207
TASK COMPLETED | TASK-1779632712207
TASK RUNNING | TASK-1779637035379
ACTION START | echo SolarBox Runtime Task
ACTION OUTPUT | SolarBox Runtime Task
TASK COMPLETED | TASK-1779637035379
TASK RUNNING | TASK-1779637628404
ACTION START | echo SolarBox Runtime Task
ACTION OUTPUT | SolarBox Runtime Task
TASK COMPLETED | TASK-1779637628404
TASK RUNNING | TASK-001
ACTION START | rm -rf /tmp/test
BLOCKED | rm -rf /tmp/test
TASK COMPLETED | TASK-001
TASK RUNNING | TASK-001
ACTION START | rm -rf /tmp/test
BLOCKED | rm -rf /tmp/test
TASK FAILED | TASK-001
TASK RUNNING | TASK-001
ACTION START | rm -rf /tmp/test
BLOCKED | rm -rf /tmp/test
TASK FAILED | TASK-001
TASK RUNNING | TASK-001
ACTION START | rm -rf /tmp/test
BLOCKED | rm -rf /tmp/test
TASK FAILED | TASK-001
TASK RUNNING | TASK-001
ACTION START | rm -rf /tmp/test
BLOCKED | rm -rf /tmp/test
TASK FAILED | TASK-001
TASK RUNNING | TASK-1779639800451
ACTION START | echo SolarBox Runtime Task
ACTION OUTPUT | SolarBox Runtime Task
TASK COMPLETED | TASK-1779639800451
